#prot	pigment	nuc	lipid	PARAM (output val)
AtPORC 	P 	NH 	NoLi	1,60959
AtPORC 	P 	NH 	NoLi	1,57363
AtPORC 	P 	NH 	NoLi	1,91529
AtPORC 	P 	NH 	NoLi	1,77491
				
HA1 	P 	NH 	NoLi	1,28546
HA1 	P 	NH 	NoLi	1,43868
HA1 	P 	NH 	NoLi	1,078
HA1 	P 	NH 	NoLi	1,50539
HA1 	P 	NH 	NoLi	1,46632
HA1 	P 	NH 	NoLi	1,23531
HA1 	P 	NH 	NoLi	1,37079
HA1 	P 	NH 	NoLi	1,30943
HA1 	P 	NH 	NoLi	1,31276
HA1 	P 	NH 	NoLi	1,12388
HA1 	P 	NH 	NoLi	1,00437
HA1 	P 	NH 	NoLi	1,09559
HA1 	P 	NH 	NoLi	1,15092
HA1 	P 	NH 	PG	0,91611
HA1 	P 	NH 	PG	0,74161
HA1 	P 	NH 	OPT	1,24423
HA1 	P 	NH 	OPT	1,07976
HA1 	P 	NH 	OPT	2,39631
HA1 	P 	NH 	OPT	2,91149
HA1 	P 	NH 	OPT	2,05882
HA1 	P 	NH 	OPT	1,6511
HA1 	P 	NH 	OPT	1,27382
HA1 	P 	NH 	OPT	1,20315
HA1 	P 	N+ 	NoLi	0,70224
HA1 	P 	N+ 	NoLi	0,66563
HA1 	P 	N+ 	PG	0,22899
HA1 	P 	N+ 	PG	0,22824
HA1 	P 	N+ 	OPT	0,52715
HA1 	P 	N+ 	OPT	0,42975
HA1 	C 	NH 	NoLi	2,240707562
HA1 	C 	NH 	NoLi	2,227799045
HA1 	C 	NH 	NoLi	2,198720125
HA1 	C 	NH 	NoLi	2,221804446
HA1 	C 	NH 	PG	3,370440535
HA1 	C 	NH 	PG	2,32511928
HA1 	C 	NH 	PG	3,649082195
HA1 	C 	NH 	PG	3,422965397
HA1 	C 	NH 	OPT	2,346905282
HA1 	C 	NH 	OPT	2,474128777
HA1 	C 	NH 	OPT	2,117913176
HA1 	C 	NH 	OPT	2,599927355
HA1 	C 	N+ 	NoLi	2,243542906
HA1 	C 	N+ 	NoLi	2,241622039
HA1 	C 	N+ 	PG	3,497562762
HA1 	C 	N+ 	PG	3,603128737
HA1 	C 	N+ 	OPT	2,482888782
HA1 	C 	N+ 	OPT	1,932940694
HA1 	P 	NH 	NoLi	1,28546
HA1 	P 	NH 	NoLi	1,43868
